"Type","Name","PID"
"APPPOOL","DefaultAppPool","1296"
"APPPOOL","MicroStrategyWebPool","8260"
"IIS","iissvcs","5300"
"SITE","Default Web Site","Started"
"APPSTATE",".NET v2.0","Started"
"APPSTATE",".NET v2.0 Classic","Started"
"APPSTATE",".NET v4.5","Started"
"APPSTATE",".NET v4.5 Classic","Started"
"APPSTATE","Classic .NET AppPool","Started"
"APPSTATE","DefaultAppPool","Started"
"APPSTATE","MicroStrategy_mITWS","Started"
"APPSTATE","MicroStrategyWebPool","Started"
"APPSTATE","MicroStrategyWebServicesPool","Started"
"APPSTATE","UploadARI","Started"
